,instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
270,271,12/1/2011,1,0,1,17,FALSE,3,1,0.2,0.1818,0.47,0.3582,0,139,139
271,272,12/1/2011,1,0,1,18,FALSE,3,1,0.2,0.1515,0.47,0.5224,2,135,137
272,273,12/1/2011,1,0,1,19,FALSE,3,1,0.18,0.1515,0.47,0.4179,1,82,83
273,274,12/1/2011,1,0,1,20,FALSE,3,1,0.16,0.1364,0.5,0.3284,2,54,56
274,275,12/1/2011,1,0,1,21,FALSE,3,1,0.16,0.1364,0.55,0.3284,0,57,57
275,276,12/1/2011,1,0,1,22,FALSE,3,1,0.16,0.1212,0.55,0.4478,1,32,33
276,277,12/1/2011,1,0,1,23,FALSE,3,1,0.14,0.1061,0.59,0.4179,1,19,20
277,278,1/13/2011,1,0,1,0,FALSE,4,1,0.14,0.1212,0.59,0.2836,1,6,7
278,279,1/13/2011,1,0,1,1,FALSE,4,1,0.14,0.1212,0.5,0.2836,0,2,2
279,280,1/13/2011,1,0,1,2,FALSE,4,1,0.14,0.1212,0.5,0.3582,0,2,2
280,281,1/13/2011,1,0,1,3,FALSE,4,1,0.14,0.1212,0.5,0.3284,0,3,3
281,282,1/13/2011,1,0,1,4,FALSE,4,1,0.14,0.1212,0.5,0.2537,0,4,4
282,283,1/13/2011,1,0,1,5,FALSE,4,1,0.14,0.1212,0.5,0.2985,0,3,3
283,284,1/13/2011,1,0,1,6,FALSE,4,1,0.12,0.1515,0.54,0.1343,0,28,28
284,285,1/13/2011,1,0,1,7,FALSE,4,1,0.12,0.1515,0.54,0.1343,0,72,72
285,286,1/13/2011,1,0,1,8,FALSE,4,1,0.14,0.1364,0.5,0.194,5,197,202
286,287,1/13/2011,1,0,1,9,FALSE,4,1,0.14,0.1212,0.5,0.3284,2,137,139
287,288,1/13/2011,1,0,1,10,FALSE,4,2,0.16,0.1364,0.5,0.3582,2,36,38
288,289,1/13/2011,1,0,1,11,FALSE,4,2,0.2,0.1667,0.44,0.4478,4,33,37
289,290,1/13/2011,1,0,1,12,FALSE,4,1,0.2,0.1667,0.44,0.4179,3,49,52
290,291,1/13/2011,1,0,1,13,FALSE,4,1,0.22,0.197,0.41,0.4478,2,81,83
291,292,1/13/2011,1,0,1,14,FALSE,4,1,0.22,0.197,0.41,0.3881,3,39,42
292,293,1/13/2011,1,0,1,15,FALSE,4,1,0.24,0.2121,0.38,0.2985,5,55,60
293,294,1/13/2011,1,0,1,16,FALSE,4,1,0.24,0.2121,0.38,0.3582,2,76,78
294,295,1/13/2011,1,0,1,17,FALSE,4,1,0.2,0.1818,0.4,0.2836,4,158,162
295,296,1/13/2011,1,0,1,18,FALSE,4,1,0.2,0.1818,0.4,0.3284,3,141,144
296,297,1/13/2011,1,0,1,19,FALSE,4,1,0.16,0.1515,0.47,0.2537,1,98,99
297,298,1/13/2011,1,0,1,20,FALSE,4,1,0.16,0.1515,0.47,0.2239,0,64,64
298,299,1/13/2011,1,0,1,21,FALSE,4,1,0.14,0.1212,0.46,0.2985,0,40,40
299,300,1/13/2011,1,0,1,22,FALSE,4,1,0.14,0.1212,0.46,0.3284,0,30,30
300,301,1/13/2011,1,0,1,23,FALSE,4,1,0.12,0.1364,0.5,0.194,1,14,15
301,302,1/14/2011,1,0,1,0,FALSE,5,1,0.12,0.1364,0.5,0.194,0,14,14
302,303,1/14/2011,1,0,1,1,FALSE,5,1,0.1,0.1212,0.54,0.1642,0,5,5
303,304,1/14/2011,1,0,1,2,FALSE,5,1,0.1,0.1212,0.54,0.1343,0,1,1
304,305,1/14/2011,1,0,1,3,FALSE,5,1,0.1,0.1364,0.54,0.1045,0,1,1
305,306,1/14/2011,1,0,1,5,FALSE,5,1,0.1,0.1364,0.54,0.0896,0,8,8
306,307,1/14/2011,1,0,1,6,FALSE,5,1,0.1,0.1818,0.54,0,0,17,17
307,308,1/14/2011,1,0,1,7,FALSE,5,1,0.1,0.1212,0.74,0.1642,0,70,70
308,309,1/14/2011,1,0,1,8,FALSE,5,1,0.12,0.1667,0.68,0,2,156,158
309,310,1/14/2011,1,0,1,9,FALSE,5,1,0.14,0.1515,0.69,0.1343,0,117,117
310,311,1/14/2011,1,0,1,10,FALSE,5,1,0.18,0.1818,0.55,0.194,4,40,44
311,312,1/14/2011,1,0,1,11,FALSE,5,1,0.18,0.1667,0.51,0.2836,6,47,53
312,313,1/14/2011,1,0,1,12,FALSE,5,1,0.2,0.197,0.44,0.2537,2,59,61
313,314,1/14/2011,1,0,1,13,FALSE,5,1,0.22,0.197,0.37,0.3881,4,73,77
314,315,1/14/2011,1,0,1,14,FALSE,5,1,0.22,0.2121,0.41,0.2836,5,59,64
315,316,1/14/2011,1,0,1,15,FALSE,5,1,0.24,0.2424,0.38,0.1642,9,59,68
316,317,1/14/2011,1,0,1,16,FALSE,5,1,0.22,0.2424,0.41,0.1045,3,87,90
317,318,1/14/2011,1,0,1,17,FALSE,5,1,0.22,0.2273,0.41,0.1642,4,155,159
318,319,1/14/2011,1,0,1,18,FALSE,5,1,0.2,0.2576,0.47,0,5,134,139
319,320,1/14/2011,1,0,1,19,FALSE,5,1,0.16,0.197,0.59,0.0896,3,89,92
320,321,1/14/2011,1,0,1,20,FALSE,5,1,0.18,0.2424,0.59,0,0,68,68
321,322,1/14/2011,1,0,1,21,FALSE,5,1,0.16,0.2273,0.69,0,4,48,52
322,323,1/14/2011,1,0,1,22,FALSE,5,2,0.16,0.2273,0.69,0,2,34,36
323,324,1/14/2011,1,0,1,23,FALSE,5,2,0.18,0.2424,0.55,0,1,26,27
324,325,1/15/2011,1,0,1,0,FALSE,6,1,0.18,0.2424,0.55,0,3,25,28
325,326,1/15/2011,1,0,1,1,FALSE,6,2,0.16,0.197,0.59,0.0896,2,18,20
326,327,1/15/2011,1,0,1,2,FALSE,6,2,0.16,0.197,0.59,0.0896,0,12,12
327,328,1/15/2011,1,0,1,3,FALSE,6,2,0.16,0.2273,0.59,0,1,7,8
328,329,1/15/2011,1,0,1,4,FALSE,6,2,0.16,0.2273,0.59,0,0,5,5
329,330,1/15/2011,1,0,1,5,FALSE,6,1,0.16,0.2273,0.59,0,0,1,1
330,331,1/15/2011,1,0,1,6,FALSE,6,1,0.14,0.1667,0.63,0.1045,1,2,3
331,332,1/15/2011,1,0,1,7,FALSE,6,1,0.14,0.2121,0.63,0,1,9,10
332,333,1/15/2011,1,0,1,8,FALSE,6,1,0.14,0.1515,0.63,0.1343,1,22,23
333,334,1/15/2011,1,0,1,9,FALSE,6,1,0.16,0.1818,0.64,0.1343,2,31,33
334,335,1/15/2011,1,0,1,10,FALSE,6,1,0.18,0.197,0.59,0.1642,2,57,59
335,336,1/15/2011,1,0,1,11,FALSE,6,1,0.2,0.197,0.55,0.2239,18,54,72
336,337,1/15/2011,1,0,1,12,FALSE,6,1,0.24,0.2273,0.48,0.2239,15,74,89
337,338,1/15/2011,1,0,1,13,FALSE,6,1,0.28,0.2576,0.38,0.2985,21,80,101
338,339,1/15/2011,1,0,1,14,FALSE,6,1,0.3,0.2879,0.39,0.2836,26,92,118
339,340,1/15/2011,1,0,1,15,FALSE,6,2,0.32,0.3182,0.36,0.194,21,108,129
340,341,1/15/2011,1,0,1,16,FALSE,6,2,0.34,0.3333,0.34,0.194,33,95,128
341,342,1/15/2011,1,0,1,17,FALSE,6,2,0.32,0.303,0.36,0.2836,29,54,83
342,343,1/15/2011,1,0,1,18,FALSE,6,2,0.3,0.2879,0.45,0.2537,15,69,84
343,344,1/15/2011,1,0,1,19,FALSE,6,2,0.32,0.303,0.39,0.2537,14,60,74
344,345,1/15/2011,1,0,1,20,FALSE,6,2,0.32,0.303,0.39,0.2537,6,35,41
345,346,1/15/2011,1,0,1,21,FALSE,6,2,0.32,0.303,0.39,0.2239,6,51,57
346,347,1/15/2011,1,0,1,22,FALSE,6,2,0.3,0.3182,0.42,0.1045,0,26,26
347,348,1/15/2011,1,0,1,23,FALSE,6,1,0.3,0.2879,0.45,0.2836,5,39,44
348,349,1/16/2011,1,0,1,0,FALSE,0,1,0.26,0.303,0.56,0,6,33,39
349,350,1/16/2011,1,0,1,1,FALSE,0,1,0.26,0.2727,0.56,0.1343,4,19,23
350,351,1/16/2011,1,0,1,2,FALSE,0,1,0.26,0.2879,0.56,0.0896,3,13,16
351,352,1/16/2011,1,0,1,3,FALSE,0,1,0.22,0.2727,0.69,0,9,6,15
352,353,1/16/2011,1,0,1,4,FALSE,0,1,0.26,0.2576,0.56,0.1642,0,1,1
353,354,1/16/2011,1,0,1,5,FALSE,0,2,0.26,0.2576,0.56,0.1642,1,1,2
354,355,1/16/2011,1,0,1,6,FALSE,0,2,0.26,0.2576,0.56,0.1642,0,1,1
355,356,1/16/2011,1,0,1,7,FALSE,0,2,0.24,0.2121,0.56,0.2985,0,3,3
356,357,1/16/2011,1,0,1,8,FALSE,0,1,0.22,0.2121,0.55,0.2836,0,18,18
357,358,1/16/2011,1,0,1,9,FALSE,0,1,0.22,0.2121,0.51,0.2537,3,29,32
358,359,1/16/2011,1,0,1,10,FALSE,0,1,0.22,0.2121,0.51,0.2836,8,71,79
359,360,1/16/2011,1,0,1,11,FALSE,0,1,0.24,0.2273,0.44,0.2537,23,70,93
360,361,1/16/2011,1,0,1,12,FALSE,0,1,0.24,0.2121,0.41,0.2836,29,75,104
361,362,1/16/2011,1,0,1,13,FALSE,0,1,0.26,0.2273,0.35,0.2985,23,95,118
362,363,1/16/2011,1,0,1,14,FALSE,0,1,0.28,0.2727,0.36,0.2537,22,69,91
363,364,1/16/2011,1,0,1,15,FALSE,0,1,0.26,0.2424,0.38,0.2537,35,78,113
364,365,1/16/2011,1,0,1,16,FALSE,0,1,0.24,0.2273,0.38,0.2239,22,77,99
365,366,1/16/2011,1,0,1,17,FALSE,0,1,0.22,0.2121,0.37,0.2537,23,82,105
366,367,1/16/2011,1,0,1,18,FALSE,0,1,0.2,0.2121,0.4,0.1642,11,56,67
367,368,1/16/2011,1,0,1,19,FALSE,0,1,0.18,0.197,0.47,0.1343,14,47,61
368,369,1/16/2011,1,0,1,20,FALSE,0,1,0.18,0.197,0.47,0.1642,7,50,57
369,370,1/16/2011,1,0,1,21,FALSE,0,1,0.18,0.197,0.51,0.1642,6,22,28
370,371,1/16/2011,1,0,1,22,FALSE,0,2,0.2,0.2121,0.49,0.1343,2,19,21
371,372,1/16/2011,1,0,1,23,FALSE,0,2,0.2,0.2273,0.4,0.1045,0,18,18
372,373,1/17/2011,1,0,1,0,TRUE,1,2,0.2,0.197,0.47,0.2239,1,16,17
373,374,1/17/2011,1,0,1,1,TRUE,1,2,0.2,0.197,0.44,0.194,1,15,16
374,375,1/17/2011,1,0,1,2,TRUE,1,2,0.18,0.1667,0.43,0.2537,0,8,8
375,376,1/17/2011,1,0,1,3,TRUE,1,2,0.18,0.1818,0.43,0.194,0,2,2
376,377,1/17/2011,1,0,1,4,TRUE,1,2,0.18,0.197,0.43,0.1343,1,2,3
377,378,1/17/2011,1,0,1,5,TRUE,1,2,0.18,0.197,0.43,0.1642,0,1,1
378,379,1/17/2011,1,0,1,6,TRUE,1,2,0.18,0.1818,0.43,0.194,0,5,5
379,380,1/17/2011,1,0,1,7,TRUE,1,2,0.16,0.1818,0.5,0.1343,4,9,13
380,381,1/17/2011,1,0,1,8,TRUE,1,2,0.16,0.1515,0.47,0.2239,3,30,33
381,382,1/17/2011,1,0,1,9,TRUE,1,2,0.16,0.1515,0.47,0.2239,8,39,47
382,383,1/17/2011,1,0,1,10,TRUE,1,2,0.16,0.1515,0.5,0.2537,7,50,57
383,384,1/17/2011,1,0,1,11,TRUE,1,2,0.16,0.1515,0.55,0.194,9,55,64
384,385,1/17/2011,1,0,1,12,TRUE,1,2,0.18,0.197,0.47,0.1343,10,70,80
385,386,1/17/2011,1,0,1,13,TRUE,1,2,0.18,0.197,0.47,0.1343,13,80,93
386,387,1/17/2011,1,0,1,14,TRUE,1,2,0.18,0.2121,0.43,0.1045,12,74,86
387,388,1/17/2011,1,0,1,15,TRUE,1,2,0.2,0.2121,0.47,0.1642,21,72,93
388,389,1/17/2011,1,0,1,16,TRUE,1,2,0.2,0.2121,0.47,0.1642,6,76,82
389,390,1/17/2011,1,0,1,17,TRUE,1,1,0.2,0.197,0.51,0.194,4,67,71
390,391,1/17/2011,1,0,1,18,TRUE,1,2,0.18,0.1667,0.55,0.2537,7,85,92
391,392,1/17/2011,1,0,1,19,TRUE,1,3,0.18,0.1818,0.59,0.194,2,58,60
392,393,1/17/2011,1,0,1,20,TRUE,1,3,0.16,0.1515,0.8,0.194,4,29,33
393,394,1/17/2011,1,0,1,21,TRUE,1,3,0.16,0.1515,0.8,0.194,3,24,27
394,395,1/17/2011,1,0,1,22,TRUE,1,3,0.14,0.1212,0.93,0.2537,0,13,13
395,396,1/17/2011,1,0,1,23,TRUE,1,3,0.16,0.1364,0.86,0.2836,1,3,4
396,397,1/18/2011,1,0,1,12,FALSE,2,2,0.2,0.1818,0.86,0.3284,0,3,3
397,398,1/18/2011,1,0,1,13,FALSE,2,2,0.2,0.197,0.86,0.2239,0,22,22
398,399,1/18/2011,1,0,1,14,FALSE,2,2,0.22,0.2273,0.8,0.1642,2,26,28
399,400,1/18/2011,1,0,1,15,FALSE,2,2,0.22,0.2273,0.87,0.1642,3,32,35
400,401,1/18/2011,1,0,1,16,FALSE,2,2,0.22,0.2273,0.87,0.194,0,61,61
401,402,1/18/2011,1,0,1,17,FALSE,2,2,0.22,0.2273,0.82,0.194,1,124,125
402,403,1/18/2011,1,0,1,18,FALSE,2,2,0.22,0.2273,0.8,0.1642,1,132,133
403,404,1/18/2011,1,0,1,19,FALSE,2,2,0.22,0.2273,0.8,0.1343,1,98,99
404,405,1/18/2011,1,0,1,20,FALSE,2,2,0.22,0.2727,0.87,0,0,83,83
405,406,1/18/2011,1,0,1,21,FALSE,2,2,0.22,0.2424,0.93,0.1045,0,41,41
406,407,1/18/2011,1,0,1,22,FALSE,2,2,0.22,0.2576,0.93,0.0896,0,33,33
407,408,1/18/2011,1,0,1,23,FALSE,2,2,0.22,0.2727,0.93,0,1,19,20
408,409,1/19/2011,1,0,1,0,FALSE,3,2,0.22,0.2727,0.93,0,0,3,3
409,410,1/19/2011,1,0,1,1,FALSE,3,3,0.22,0.2273,0.93,0.1343,1,6,7
410,411,1/19/2011,1,0,1,2,FALSE,3,3,0.22,0.2273,0.93,0.1343,0,3,3
411,412,1/19/2011,1,0,1,4,FALSE,3,3,0.22,0.2273,0.93,0.1343,1,1,2
412,413,1/19/2011,1,0,1,5,FALSE,3,2,0.22,0.2576,0.93,0.0896,0,7,7
413,414,1/19/2011,1,0,1,6,FALSE,3,2,0.22,0.2576,0.93,0.0896,0,32,32
414,415,1/19/2011,1,0,1,7,FALSE,3,2,0.24,0.2576,0.92,0.1045,1,89,90
415,416,1/19/2011,1,0,1,8,FALSE,3,2,0.24,0.2576,0.93,0.1045,1,196,197
416,417,1/19/2011,1,0,1,9,FALSE,3,2,0.24,0.2576,0.93,0.1045,2,107,109
417,418,1/19/2011,1,0,1,10,FALSE,3,2,0.26,0.2727,0.93,0.1343,1,46,47
418,419,1/19/2011,1,0,1,11,FALSE,3,2,0.28,0.303,0.87,0.0896,5,47,52
419,420,1/19/2011,1,0,1,12,FALSE,3,2,0.3,0.3182,0.81,0.0896,5,65,70
420,421,1/19/2011,1,0,1,13,FALSE,3,1,0.4,0.4091,0.62,0.2836,11,67,78
421,422,1/19/2011,1,0,1,14,FALSE,3,1,0.4,0.4091,0.58,0.2537,7,68,75
422,423,1/19/2011,1,0,1,15,FALSE,3,1,0.4,0.4091,0.54,0.2836,4,78,82
423,424,1/19/2011,1,0,1,16,FALSE,3,1,0.38,0.3939,0.58,0.3881,10,94,104
424,425,1/19/2011,1,0,1,17,FALSE,3,1,0.36,0.3333,0.57,0.3284,7,190,197
425,426,1/19/2011,1,0,1,18,FALSE,3,1,0.34,0.3182,0.61,0.2836,5,156,161
426,427,1/19/2011,1,0,1,19,FALSE,3,1,0.32,0.2879,0.57,0.4179,4,108,112
427,428,1/19/2011,1,0,1,20,FALSE,3,1,0.32,0.303,0.49,0.2985,2,74,76
428,429,1/19/2011,1,0,1,21,FALSE,3,1,0.32,0.2879,0.49,0.4179,4,55,59
429,430,1/19/2011,1,0,1,22,FALSE,3,1,0.3,0.303,0.52,0.1642,6,53,59
430,431,1/19/2011,1,0,1,23,FALSE,3,1,0.3,0.2727,0.52,0.4627,1,27,28
431,432,1/20/2011,1,0,1,0,FALSE,4,1,0.26,0.2273,0.56,0.3881,5,8,13
432,433,1/20/2011,1,0,1,1,FALSE,4,1,0.26,0.2727,0.56,0,2,3,5
433,434,1/20/2011,1,0,1,2,FALSE,4,1,0.26,0.2727,0.56,0,0,2,2
434,435,1/20/2011,1,0,1,3,FALSE,4,1,0.26,0.2576,0.56,0.1642,0,1,1
435,436,1/20/2011,1,0,1,4,FALSE,4,1,0.26,0.2576,0.56,0.1642,0,1,1
436,437,1/20/2011,1,0,1,5,FALSE,4,1,0.24,0.2273,0.6,0.2239,0,6,6
437,438,1/20/2011,1,0,1,6,FALSE,4,1,0.22,0.2121,0.6,0.2239,0,35,35
438,439,1/20/2011,1,0,1,7,FALSE,4,1,0.22,0.2121,0.55,0.2239,1,100,101
439,440,1/20/2011,1,0,1,8,FALSE,4,1,0.22,0.2121,0.55,0.2836,2,247,249
440,441,1/20/2011,1,0,1,9,FALSE,4,2,0.24,0.2273,0.52,0.2239,3,140,143
441,442,1/20/2011,1,0,1,10,FALSE,4,1,0.26,0.2273,0.48,0.2985,1,56,57
442,443,1/20/2011,1,0,1,11,FALSE,4,2,0.28,0.2727,0.45,0.1642,5,63,68
443,444,1/20/2011,1,0,1,12,FALSE,4,2,0.3,0.3333,0.42,0,7,77,84
444,445,1/20/2011,1,0,1,13,FALSE,4,2,0.28,0.2879,0.45,0.1045,12,86,98
445,446,1/20/2011,1,0,1,14,FALSE,4,2,0.3,0.303,0.45,0.1343,6,75,81
446,447,1/20/2011,1,0,1,15,FALSE,4,2,0.32,0.3182,0.45,0.194,8,62,70
447,448,1/20/2011,1,0,1,16,FALSE,4,2,0.3,0.303,0.49,0.1343,8,83,91
448,449,1/20/2011,1,0,1,17,FALSE,4,2,0.3,0.3182,0.49,0.1045,8,207,215
449,450,1/20/2011,1,0,1,18,FALSE,4,2,0.26,0.2576,0.56,0.194,1,184,185
450,451,1/20/2011,1,0,1,19,FALSE,4,1,0.26,0.2273,0.56,0.3284,6,146,152
451,452,1/20/2011,1,0,1,20,FALSE,4,2,0.26,0.2424,0.6,0.2836,2,124,126
452,453,1/20/2011,1,0,1,21,FALSE,4,2,0.24,0.2273,0.6,0.2537,3,54,57
453,454,1/20/2011,1,0,1,22,FALSE,4,2,0.24,0.2121,0.65,0.2836,0,56,56
454,455,1/20/2011,1,0,1,23,FALSE,4,2,0.24,0.2121,0.65,0.3284,3,28,31
455,456,1/21/2011,1,0,1,0,FALSE,5,2,0.24,0.2273,0.7,0.2537,1,20,21
456,457,1/21/2011,1,0,1,1,FALSE,5,2,0.24,0.2273,0.7,0.2537,0,6,6
457,458,1/21/2011,1,0,1,2,FALSE,5,3,0.24,0.2424,0.75,0.1642,0,2,2
458,459,1/21/2011,1,0,1,3,FALSE,5,3,0.22,0.2121,0.8,0.2985,0,1,1
459,460,1/21/2011,1,0,1,4,FALSE,5,2,0.22,0.2576,0.87,0.0896,0,1,1
460,461,1/21/2011,1,0,1,5,FALSE,5,1,0.24,0.197,0.6,0.4179,1,4,5
461,462,1/21/2011,1,0,1,6,FALSE,5,1,0.22,0.2121,0.55,0.2537,0,27,27
462,463,1/21/2011,1,0,1,7,FALSE,5,1,0.2,0.1818,0.51,0.2836,2,66,68
463,464,1/21/2011,1,0,1,8,FALSE,5,1,0.2,0.1818,0.47,0.3284,7,210,217
464,465,1/21/2011,1,0,1,9,FALSE,5,1,0.2,0.1818,0.51,0.3582,7,159,166
465,466,1/21/2011,1,0,1,10,FALSE,5,1,0.2,0.1667,0.47,0.4627,6,57,63
466,467,1/21/2011,1,0,1,11,FALSE,5,1,0.22,0.1818,0.41,0.4627,6,53,59
467,468,1/21/2011,1,0,1,12,FALSE,5,1,0.22,0.1818,0.27,0.5821,11,67,78
468,469,1/21/2011,1,0,1,13,FALSE,5,1,0.2,0.1515,0.21,0.5821,8,65,73
469,470,1/21/2011,1,0,1,14,FALSE,5,1,0.2,0.1515,0.25,0.5224,6,56,62
470,471,1/21/2011,1,0,1,15,FALSE,5,1,0.16,0.1212,0.26,0.4478,4,61,65
471,472,1/21/2011,1,0,1,16,FALSE,5,1,0.16,0.1364,0.26,0.3582,0,97,97
472,473,1/21/2011,1,0,1,17,FALSE,5,1,0.14,0.1212,0.28,0.3582,10,151,161
473,474,1/21/2011,1,0,1,18,FALSE,5,1,0.12,0.1212,0.3,0.2537,1,119,120
474,475,1/21/2011,1,0,1,19,FALSE,5,1,0.12,0.1061,0.3,0.3284,3,93,96
475,476,1/21/2011,1,0,1,20,FALSE,5,1,0.1,0.0758,0.33,0.4179,1,52,53
476,477,1/21/2011,1,0,1,21,FALSE,5,1,0.08,0.0758,0.38,0.2836,0,41,41
477,478,1/21/2011,1,0,1,22,FALSE,5,1,0.06,0.0303,0.41,0.3881,1,33,34
478,479,1/21/2011,1,0,1,23,FALSE,5,1,0.06,0.0455,0.38,0.3284,0,27,27
479,480,1/22/2011,1,0,1,0,FALSE,6,1,0.04,0.0303,0.45,0.2537,0,13,13
480,481,1/22/2011,1,0,1,1,FALSE,6,2,0.04,0,0.41,0.3881,3,9,12
481,482,1/22/2011,1,0,1,2,FALSE,6,2,0.04,0.0303,0.41,0.2537,0,11,11
482,483,1/22/2011,1,0,1,3,FALSE,6,2,0.04,0.0303,0.41,0.2836,1,6,7
483,484,1/22/2011,1,0,1,4,FALSE,6,2,0.02,0.0152,0.48,0.2985,0,3,3
484,485,1/22/2011,1,0,1,6,FALSE,6,2,0.02,0.0303,0.44,0.2239,0,2,2
485,486,1/22/2011,1,0,1,7,FALSE,6,1,0.02,0.0152,0.44,0.2836,0,8,8
486,487,1/22/2011,1,0,1,8,FALSE,6,1,0.02,0,0.44,0.3284,1,26,27
487,488,1/22/2011,1,0,1,9,FALSE,6,1,0.04,0.0303,0.41,0.2537,3,37,40
488,489,1/22/2011,1,0,1,10,FALSE,6,2,0.04,0.0606,0.41,0.1642,3,50,53
489,490,1/22/2011,1,0,1,11,FALSE,6,2,0.06,0.0758,0.38,0.1343,4,59,63
490,491,1/22/2011,1,0,1,12,FALSE,6,2,0.06,0.1061,0.38,0.1045,10,60,70
491,492,1/22/2011,1,0,1,13,FALSE,6,1,0.08,0.1667,0.35,0,12,72,84
492,493,1/22/2011,1,0,1,14,FALSE,6,1,0.1,0.1364,0.33,0.1045,11,64,75
493,494,1/22/2011,1,0,1,15,FALSE,6,1,0.12,0.1515,0.28,0,10,93,103
494,495,1/22/2011,1,0,1,16,FALSE,6,1,0.12,0.1364,0.28,0.194,11,72,83
495,496,1/22/2011,1,0,1,17,FALSE,6,1,0.12,0.197,0.28,0,8,59,67
496,497,1/22/2011,1,0,1,18,FALSE,6,1,0.08,0.0909,0.35,0.194,0,54,54
497,498,1/22/2011,1,0,1,19,FALSE,6,1,0.08,0.1061,0.35,0.1343,6,53,59
498,499,1/22/2011,1,0,1,20,FALSE,6,1,0.06,0.0758,0.45,0.1642,1,44,45
499,500,1/22/2011,1,0,1,21,FALSE,6,1,0.06,0.1061,0.41,0.0896,0,39,39
500,501,1/22/2011,1,0,1,22,FALSE,6,1,0.06,0.1515,0.49,0,7,23,30
501,502,1/22/2011,1,0,1,23,FALSE,6,1,0.04,0.0758,0.57,0.1045,2,31,33
502,503,1/23/2011,1,0,1,0,FALSE,0,1,0.04,0.0758,0.57,0.1045,2,20,22
503,504,1/23/2011,1,0,1,1,FALSE,0,1,0.04,0.0758,0.57,0.1045,1,12,13
504,505,1/23/2011,1,0,1,2,FALSE,0,1,0.02,0.0606,0.62,0.1343,3,15,18
505,506,1/23/2011,1,0,1,3,FALSE,0,1,0.02,0.0606,0.62,0.1343,1,4,5
506,507,1/23/2011,1,0,1,5,FALSE,0,2,0.04,0.0758,0.57,0.1045,0,3,3
507,508,1/23/2011,1,0,1,6,FALSE,0,2,0.04,0.0758,0.57,0.1045,0,1,1
508,509,,1,0,1,7,FALSE,0,1,0.08,0.1061,0.58,0.1642,1,1,2
509,510,1/23/2011,1,0,1,8,FALSE,0,1,0.06,0.0758,0.62,0.1642,2,17,19
510,511,1/23/2011,1,0,1,9,FALSE,0,1,0.1,0.0758,0.54,0.3582,3,25,28
511,512,1/23/2011,1,0,1,10,FALSE,0,1,0.14,0.1061,0.46,0.3881,7,51,58
512,513,1/23/2011,1,0,1,11,FALSE,0,1,0.14,0.1364,0.43,0.2239,22,77,99
513,514,1/23/2011,1,0,1,12,FALSE,0,1,0.16,0.1212,0.37,0.4627,24,92,116
514,515,1/23/2011,1,0,1,13,FALSE,0,1,0.14,0.1061,0.33,0.3881,12,75,87
515,516,1/23/2011,1,0,1,14,FALSE,0,1,0.16,0.1364,0.28,0.3582,17,93,110
516,517,1/23/2011,1,0,1,15,FALSE,0,1,0.16,0.1364,0.28,0.3582,13,64,77
517,518,1/23/2011,1,0,1,16,FALSE,0,1,0.16,0.1364,0.26,0.3284,9,56,65
518,519,1/23/2011,1,0,1,17,FALSE,0,1,0.14,0.1061,0.26,0.3881,5,50,55
519,520,1/23/2011,1,0,1,18,FALSE,0,1,0.12,0.1212,0.3,0.2537,5,44,49
520,521,1/23/2011,1,0,1,19,FALSE,0,1,0.12,0.1212,0.3,0.2836,5,45,50
521,522,1/23/2011,1,0,1,20,FALSE,0,1,0.1,0.1061,0.36,0.2537,4,31,35
522,523,1/23/2011,1,0,1,21,FALSE,0,1,0.1,0.1061,0.36,0.194,5,20,25
523,524,1/23/2011,1,0,1,22,FALSE,0,1,0.08,0.0909,0.38,0.194,5,23,28
524,525,1/23/2011,1,0,1,23,FALSE,0,1,0.06,0.0606,0.41,0.2239,4,17,21
525,526,1/24/2011,1,0,1,0,FALSE,1,1,0.06,0.0606,0.41,0.194,0,7,7
526,527,1/24/2011,1,0,1,1,FALSE,1,1,0.04,0.0455,0.45,0.194,0,1,1
527,528,1/24/2011,1,0,1,3,FALSE,1,1,0.04,0.0303,0.45,0.2537,0,1,1
528,529,1/24/2011,1,0,1,4,FALSE,1,1,0.02,0.0606,0.48,0.1343,0,1,1
529,530,1/24/2011,1,0,1,5,FALSE,1,1,0.02,0.0606,0.48,0.1343,0,5,5
530,531,1/24/2011,1,0,1,6,FALSE,1,1,0.02,0.0758,0.48,0.0896,0,15,15
531,532,1/24/2011,1,0,1,7,FALSE,1,1,0.02,0.1212,0.48,0,5,79,84
532,533,1/24/2011,1,0,1,8,FALSE,1,1,0.04,0.1364,0.49,0,6,171,177
533,534,1/24/2011,1,0,1,9,FALSE,1,1,0.06,0.1515,0.41,0,4,98,102
534,535,1/24/2011,1,0,1,10,FALSE,1,1,0.1,0.1364,0.42,0,6,34,40
535,536,1/24/2011,1,0,1,11,FALSE,1,1,0.1,0.1212,0.46,0.1343,3,43,46
536,537,1/24/2011,1,0,1,12,FALSE,1,2,0.12,0.1364,0.42,0.194,11,52,63
537,538,1/24/2011,1,0,1,13,FALSE,1,2,0.14,0.1364,0.43,0.2239,6,54,60
538,539,1/24/2011,1,0,1,14,FALSE,1,2,0.14,0.1364,0.46,0.2239,2,43,45
539,540,1/24/2011,1,0,1,15,FALSE,1,1,0.16,0.1667,0.4,0.1642,7,50,57
540,541,1/24/2011,1,0,1,16,FALSE,1,1,0.16,0.1515,0.47,0.2537,4,66,70
